Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Component,Sprint,Assignee,Priority,Start Date,Due Date,Labels
Epic,IF-E0 Infrastructure & DevOps,"Ha tang dev, CI/CD, dockerize, deploy nen",Infrastructure & DevOps,,,infra,,,Medium,5/12/2026,6/15/2026,mvp
Epic,IF-E1 Platform Services,"Discovery, Config, Gateway",Platform Services,,,gateway,,,High,5/12/2026,5/25/2026,mvp
Epic,IF-E2 Auth & Multi-tenancy,"Tenant, user, role, JWT issuance",Auth & Multi-tenancy,,,auth,,,High,5/12/2026,5/25/2026,mvp
Epic,IF-E3 Catalog,"Products, variants, inventory",Catalog,,,catalog,,,High,5/19/2026,6/1/2026,mvp
Epic,IF-E4 Sales,"Orders, order items, customers, suppliers",Sales,,,sales,,,High,5/26/2026,6/3/2026,mvp
Epic,IF-E5 Data Ingestion (CSV),Upload CSV products + sales history,Data Ingestion (CSV),,,integration,,,High,5/26/2026,6/1/2026,mvp
Epic,IF-E6 ML Forecast & Recommendation,Prophet forecast + rule-based recommendation,ML Forecast & Recommendation,,,ml,,,High,5/12/2026,6/11/2026,mvp
Epic,IF-E7 Dashboard BFF,Aggregate API cho frontend,Dashboard BFF,,,bff,,,High,6/2/2026,6/5/2026,mvp
Epic,IF-E8 Notification,In-app + email alert,Notification,,,notification,,,Medium,6/2/2026,6/8/2026,mvp
Epic,IF-E9 Frontend Web App,"Web app, dashboard, tich hop OpenAPI",Frontend Web App,,,frontend,,,High,5/12/2026,6/15/2026,mvp
Epic,IF-E10 Deploy & Pilot,Deploy production + onboard shop dung thu,Deploy & Pilot,,,infra,,,High,6/9/2026,6/15/2026,mvp
Story,IF-101 Dung docker-compose dev,"Postgres 16, Kafka, Redis, MinIO; healthcheck OK",,Infrastructure & DevOps,5,infra,Sprint 1,BE3,High,5/12/2026,5/13/2026,mvp
Story,IF-102 Khoi tao schema DB + init.sql,"Moi service co schema rieng (auth_db, catalog_db...)",,Infrastructure & DevOps,2,infra,Sprint 1,BE3,High,5/14/2026,5/14/2026,mvp
Story,IF-103 CI nen GitHub Actions,ci-java.yml + ci-python.yml; PR mo -> build+test,,Infrastructure & DevOps,3,infra,Sprint 1,BE3,High,5/15/2026,5/18/2026,mvp
Story,IF-111 Discovery server (Eureka),"Service register duoc, port 8761",,Platform Services,3,gateway,Sprint 1,BE1,High,5/12/2026,5/12/2026,mvp
Story,IF-112 Config server + config-repo,"Load config tap trung, port 8888",,Platform Services,5,gateway,Sprint 1,BE1,High,5/13/2026,5/14/2026,mvp
Story,IF-113 shared-core (web/security/events),"common-web RFC7807, common-security TenantContext, common-events; mvn install",,Platform Services,8,gateway,Sprint 1,BE1,High,5/15/2026,5/18/2026,mvp
Story,IF-121 Scaffold auth-service + Flyway,Tables tenants/users/roles/permissions/refresh_tokens tren auth_db,,Auth & Multi-tenancy,5,auth,Sprint 1,BE2,High,5/12/2026,5/13/2026,mvp
Story,IF-122 Register-tenant + Login (JWT),Tao tenant+OWNER; login tra access+refresh token; BCrypt,,Auth & Multi-tenancy,8,auth,Sprint 1,BE2,High,5/14/2026,5/18/2026,mvp
